transaction_id,timestamp,amount,transaction_type,subject,description,status,country
7879,2023-03-24 16:05:46,390.85,trasferimento,Tammy Williams,Management step main really.,autorizzata,Montenegro
3225,2023-01-27 20:05:37,154.55,trasferimento,Mrs. Alison Silva MD,Media even white.,autorizzata,Qatar
1920,2023-04-01 17:17:47,631.47,trasferimento,Ashley Thompson,Any well these once.,autorizzata,British Virgin Islands
4433,2023-05-08 09:51:43,626.83,trasferimento,Stephen Moore,Whom best break project ten her drop.,autorizzata,Pakistan
4836,2023-02-18 07:13:23,991.88,prelievo,Christopher Blevins,Mean pattern strong somebody cover man must half.,autorizzata,Saint Pierre and Miquelon
4896,2023-02-14 13:05:42,599.62,prelievo,Rachel Greer,Close movie act debate later two full.,autorizzata,Western Sahara
7270,2023-03-08 00:12:43,810.55,acquisto,Elizabeth Grant,As factor suggest gun successful hospital.,autorizzata,United States Virgin Islands
1452,2023-06-13 06:27:53,216.7,prelievo,Kristine Hall,Magazine society step chair.,autorizzata,Greenland
1743,2023-07-06 16:26:01,88.7,prelievo,Miss Sherry Anthony,Firm trade expect position Republican soon size study.,autorizzata,Armenia
4629,2023-03-16 18:10:05,287.61,prelievo,Jonathon Becker,Loss dark live with bag free.,autorizzata,Pakistan
7054,2023-05-01 13:32:58,707.56,trasferimento,Joel Roach,Glass budget certainly meet.,autorizzata,Guam
3635,2023-06-03 03:23:51,905.32,prelievo,Amber Olson,Civil take likely positive.,autorizzata,Saint Martin
3216,2023-08-07 08:56:59,945.13,trasferimento,Joseph Jackson,Church if information purpose board cell catch.,autorizzata,United States Minor Outlying Islands
3708,2023-02-19 01:50:15,47.12,prelievo,Kathy Bradley,Experience human red.,autorizzata,Hong Kong
7067,2023-08-22 01:52:43,339.85,acquisto,Lauren Hayes,Amount rather serious like hospital street.,autorizzata,Korea
2966,2023-05-25 02:20:32,168.24,trasferimento,Bradley Gross,Fine although ever ask very.,autorizzata,Malawi
8645,2023-06-04 02:56:07,771.64,acquisto,Cindy Mora,Democrat center character voice dark list trouble.,autorizzata,Uruguay
6470,2023-07-06 21:19:19,675.03,acquisto,Travis Carroll,Consider maintain from see ok.,autorizzata,Guernsey
8922,2023-01-12 16:56:19,548.57,acquisto,Donna Bell,Cultural very must investment.,autorizzata,Niger
1255,2023-07-01 10:52:21,85.1,trasferimento,Heather Boyd,Force message activity hear.,autorizzata,Bermuda
7357,2023-01-12 17:56:29,502.69,prelievo,Angela Jones,Capital its fact dream prepare.,autorizzata,Jersey
181,2023-06-09 00:38:37,755.06,prelievo,Billy Wilkerson,Wait together later.,autorizzata,Congo
2168,2023-03-20 21:44:15,227.87,prelievo,Rachel Singh,Third up before much.,autorizzata,Bolivia
5976,2023-06-02 19:23:24,749.98,acquisto,Kathleen Miller,Left long city stage.,sospetta,Portugal
2106,2023-06-14 13:24:54,808.04,trasferimento,Ryan Gardner,Race oil side herself suggest.,autorizzata,Solomon Islands
7055,2023-01-29 19:12:07,297.25,trasferimento,Lindsey Banks,Positive news fear maintain create each finally.,autorizzata,Nigeria
6146,2023-06-27 21:28:09,838.93,trasferimento,Kristy Martinez,Wind term enter need.,autorizzata,American Samoa
2930,2023-05-18 04:26:42,107.07,prelievo,Earl Atkinson,Born certain choice.,autorizzata,China
5461,2023-08-20 02:10:40,103.48,trasferimento,Amber Miller,Scene these opportunity piece finally.,autorizzata,Tonga
6811,2023-05-31 16:02:21,429.27,trasferimento,Wendy Calhoun,Within from single that eye send only level.,autorizzata,Bosnia and Herzegovina
8501,2023-03-31 18:20:26,576.52,prelievo,Rebecca Maxwell,Behavior throughout career attention kitchen.,sospetta,Belgium
802,2023-05-16 07:49:45,863.11,trasferimento,Juan Holt,Pick newspaper turn speech husband low.,autorizzata,India
2025,2023-04-02 15:07:00,228.8,trasferimento,Jessica Dyer,Professor forget set mother power.,autorizzata,Gibraltar
1346,2023-05-07 23:06:49,627.29,trasferimento,Sharon Berg,Rise yard artist between social attorney water.,sospetta,Denmark
3280,2023-03-22 22:46:03,91.66,acquisto,Thomas Lang,Prove hour throw son stand network candidate.,sospetta,Germany
555,2023-07-26 05:12:43,81.55,prelievo,Janice Yoder,Wide society what.,autorizzata,Morocco
947,2023-03-05 02:09:34,579.47,prelievo,Ellen Smith,Wall rest whether become born.,autorizzata,Australia
5166,2023-03-24 07:46:55,39.4,prelievo,Dr. Joseph Allen,Whatever near maintain require modern computer lay.,autorizzata,Bangladesh
1907,2023-06-05 22:27:26,611.8,prelievo,Tonya Martin,Mr administration relationship center.,autorizzata,Saint Lucia
1714,2023-06-30 09:00:12,474.41,acquisto,Brandon Martinez,Sit ago trial knowledge finish yourself management another.,autorizzata,Macao
1298,2023-03-03 05:52:39,250.95,trasferimento,Sharon Collins,Area laugh technology foreign yourself news here anything.,autorizzata,Malawi
4589,2023-08-10 01:03:43,856.23,acquisto,David Turner,Throughout security ground record send.,autorizzata,Guam
4237,2023-08-23 23:25:16,945.24,trasferimento,Destiny Patterson,Which card someone training sound day often.,autorizzata,Australia
339,2023-01-05 18:57:23,267.5,trasferimento,Anthony Ross,Word field investment management myself.,autorizzata,Bosnia and Herzegovina
2629,2023-04-11 08:30:04,512.36,acquisto,Samantha Ferguson,Dog focus positive family there protect analysis.,autorizzata,Palau
3341,2023-04-02 11:34:06,724.91,acquisto,Amy Baker,For central be some shake war majority.,autorizzata,Canada
7571,2023-01-17 22:16:35,635.75,acquisto,Jason Blevins,Artist product smile view tell wind late help.,autorizzata,Aruba
1811,2023-02-20 12:59:29,240.78,prelievo,Dawn Thomas,Police first start.,autorizzata,Ghana
128,2023-03-03 10:43:05,303.65,prelievo,Amanda Cole,Detail behind almost smile science oil exactly.,autorizzata,Swaziland
3710,2023-08-15 12:59:58,399.71,prelievo,Adam Grant,Remember century you ok fact network.,autorizzata,Wallis and Futuna
6068,2023-01-02 11:04:44,994.1,trasferimento,Maurice Hernandez,Would piece everyone world team wall another.,autorizzata,Congo
9118,2023-05-28 10:18:15,847.46,prelievo,Austin Gonzales,Police piece trouble success.,autorizzata,Grenada
7942,2023-06-30 16:05:54,489.21,acquisto,Joel Lloyd,Soldier power campaign.,autorizzata,Papua New Guinea
7014,2023-02-28 07:50:02,590.02,acquisto,Samantha White,Save decade responsibility tax without employee.,autorizzata,Faroe Islands
7522,2023-05-22 02:26:11,328.9,trasferimento,Kelly Pearson,Thousand and her my message.,autorizzata,Indonesia
976,2023-06-11 17:21:16,199.86,prelievo,Anne Bryant,Current especially can family face.,sospetta,Sweden
5287,2023-04-10 16:35:36,982.53,prelievo,Tabitha Snyder,Remain interest newspaper group up trouble concern.,autorizzata,Moldova
302,2023-07-19 06:41:24,762.17,trasferimento,Christopher Young,Sort result bad summer smile.,autorizzata,Nauru
401,2023-06-01 10:31:11,415.45,acquisto,Joshua Sweeney,Policy describe painting discussion example yourself drop.,autorizzata,Gambia
1279,2023-04-04 15:57:29,419.77,trasferimento,Lauren Velez,Police main source success.,autorizzata,Gambia
8132,2023-07-18 04:06:49,215.43,prelievo,Tara Nolan,Trouble become occur this let.,autorizzata,Saint Barthelemy
9254,2023-04-16 14:52:30,944.8,prelievo,Jeffery Murphy,Yes lot certainly amount friend resource.,sospetta,Romania
8257,2023-06-25 04:42:46,74.56,trasferimento,Audrey Donovan,Describe local benefit player major brother develop nice.,autorizzata,Cameroon
9562,2023-07-11 16:30:59,193.66,acquisto,Ashley Brown,Any send difficult back according yes today.,autorizzata,United States Minor Outlying Islands
5845,2023-07-30 19:39:58,709.0,acquisto,Chelsey Bryan,Fly card air receive way.,autorizzata,Kuwait
1372,2023-05-12 17:03:21,461.17,trasferimento,Matthew Mcclure,Particularly military father probably loss around.,autorizzata,Jersey
