transaction_id,timestamp,amount,transaction_type,subject,description,status,country
1,2023-05-08 12:29:28,873.08,trasferimento,Lisa Meyer,Of effect discover finish.,sospetta,Spain
2,2023-01-16 20:06:43,912.23,acquisto,Laura Smith,Help computer believe.,autorizzata,Azerbaijan
3,2023-04-02 01:59:49,709.16,trasferimento,Elizabeth Castillo,End mention officer this building budget.,autorizzata,Cambodia
4,2023-02-22 03:45:45,205.12,prelievo,Ryan Bryant,Certain remain scientist table voice example investment.,autorizzata,Taiwan
5,2023-07-08 00:36:36,208.22,trasferimento,Stacy Roman,Senior medical wear law for night operation.,sospetta,Cyprus
6,2023-03-23 02:33:35,510.36,acquisto,Mitchell Andrade,Say age catch modern modern focus next.,autorizzata,Tunisia
7,2023-06-10 07:29:05,668.88,prelievo,Maria Murphy PhD,Same line likely night upon happy.,autorizzata,Israel
8,2023-01-22 05:00:38,904.03,acquisto,Brent Miller,Sing cell ever responsibility become car military.,autorizzata,Kazakhstan
9,2023-07-30 11:01:11,971.04,trasferimento,Tiffany Stewart,Five trade anything material.,autorizzata,Mauritius
10,2023-01-28 08:02:13,110.34,acquisto,Stephanie Glenn,Toward red discover per star.,autorizzata,Dominican Republic
11,2023-02-14 18:33:39,532.38,trasferimento,Justin Schneider,Million particular play practice just.,autorizzata,Niue
12,2023-05-15 08:56:50,739.48,acquisto,Theresa Humphrey,How significant exactly happy than market only.,autorizzata,Senegal
13,2023-01-16 03:38:54,35.63,trasferimento,Theresa Wall,Truth list citizen peace.,autorizzata,Mauritius
14,2023-07-09 09:03:56,857.48,acquisto,Jessica Nunez,Time despite expert my.,autorizzata,Nepal
15,2023-07-22 18:12:59,184.02,acquisto,Margaret Jones,Thank while price garden ready again current.,autorizzata,British Indian Ocean Territory (Chagos Archipelago)
16,2023-07-11 17:26:25,647.54,acquisto,Terry Hoffman,Sure state firm care couple.,autorizzata,Burkina Faso
17,2023-01-29 06:23:07,508.1,trasferimento,Gary Wallace,Help theory will across.,sospetta,Belgium
18,2023-04-01 20:04:11,847.01,trasferimento,Abigail Cunningham,Sort maybe part hour hand owner wife.,autorizzata,Saint Vincent and the Grenadines
19,2023-08-05 03:52:30,765.14,prelievo,Eric Whitaker,Laugh against glass look real charge by rock.,autorizzata,Bangladesh
20,2023-05-04 23:22:45,270.03,prelievo,Sarah Carlson,Move nice spend daughter good.,autorizzata,Malaysia
21,2023-05-02 02:39:01,975.73,acquisto,Russell Roberts,State despite professional group history.,autorizzata,Syrian Arab Republic
22,2023-06-18 02:54:44,718.68,trasferimento,Amy Washington,Real support hear response marriage.,autorizzata,Cook Islands
23,2023-03-24 04:03:14,805.88,trasferimento,Brenda Jones,Cut pick create rise face.,autorizzata,Hong Kong
24,2023-05-08 16:36:18,345.11,acquisto,Megan Coleman,Way word quite.,autorizzata,Serbia
25,2023-02-08 04:14:52,538.52,acquisto,Robert Rodriguez,His whom little together night national.,autorizzata,French Polynesia
26,2023-07-03 11:50:46,482.13,acquisto,Shaun Austin,Science relate nor.,autorizzata,Sudan
27,2023-04-12 21:12:37,741.82,trasferimento,Alexander Mason,Politics several ball upon project Mr.,autorizzata,Costa Rica
28,2023-05-17 14:57:10,895.58,trasferimento,Jordan Martin,Wind activity arm part hit ago.,autorizzata,Mali
29,2023-03-19 04:06:08,566.96,acquisto,David Diaz,Factor receive success significant alone.,autorizzata,Dominican Republic
30,2023-02-14 17:31:33,117.34,trasferimento,Andrew Morgan,Ok mind tough despite animal action.,autorizzata,Niger
31,2023-04-03 00:07:20,79.14,prelievo,Brenda Nunez,Continue national industry begin lawyer fight would.,autorizzata,Dominican Republic
32,2023-01-16 11:38:48,255.02,prelievo,Michael Ryan,Turn base several security conference he against.,autorizzata,Australia
33,2023-07-22 05:18:14,302.9,acquisto,Jordan Lee,Work rich school that threat travel.,autorizzata,Cape Verde
34,2023-05-17 08:49:39,604.93,acquisto,Luis Bryant,Sing senior car hear weight.,autorizzata,Kiribati
35,2023-01-20 14:02:10,815.05,prelievo,Cindy Chavez,Cell beautiful name perform.,sospetta,Austria
36,2023-07-05 06:35:23,850.7,trasferimento,Clayton Bowman,Keep computer image bar one.,autorizzata,Vietnam
37,2023-07-10 16:49:36,664.41,acquisto,Darren Love,Production above behavior strong.,sospetta,Greece
38,2023-08-19 22:50:57,957.51,trasferimento,James Hood,Decision by win senior within task street action.,autorizzata,Isle of Man
39,2023-07-30 23:02:30,916.92,trasferimento,Michael Dominguez,Ten skill power lot.,autorizzata,Belize
40,2023-04-15 02:39:41,763.13,trasferimento,Ronald Dunn,Present box wall.,autorizzata,India
41,2023-05-02 12:02:39,950.73,acquisto,Martha Thomas,People soldier good form attorney you.,autorizzata,Cote d'Ivoire
42,2023-04-29 16:08:42,889.15,prelievo,Jared Jones,Raise culture new response over.,autorizzata,Falkland Islands (Malvinas)
